year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
1982,1982-06-20,First group stage,England,Czechoslovakia,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-20,First group stage,Spain,Yugoslavia,2,2,0,0,0.0,0.0,True,4,0
1982,1982-06-19,First group stage,Poland,Cameroon,1,2,0,0,0.0,0.0,True,3,0
1982,1982-06-19,First group stage,Soviet Union,New Zealand,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-19,First group stage,Belgium,El Salvador,0,2,0,0,0.0,0.0,True,2,0
1982,1982-06-18,First group stage,Italy,Peru,1,1,0,0,0.0,0.0,True,2,0
1982,1982-06-18,First group stage,Brazil,Scotland,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-18,First group stage,Argentina,Hungary,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-17,First group stage,Chile,Austria,1,2,0,0,0.0,0.0,True,3,0
1982,1982-06-17,First group stage,Czechoslovakia,Kuwait,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-17,First group stage,Yugoslavia,Northern Ireland,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-16,First group stage,England,France,1,0,0,0,0.0,0.0,True,1,0
1982,1982-06-16,First group stage,West Germany,Algeria,1,1,0,0,0.0,0.0,True,2,0
1982,1982-06-16,First group stage,Spain,Honduras,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-15,First group stage,Peru,Cameroon,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-15,First group stage,Hungary,El Salvador,2,0,0,0,0.0,0.0,True,2,0
1982,1982-06-15,First group stage,Scotland,New Zealand,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-14,First group stage,Italy,Poland,2,1,0,0,0.0,0.0,True,3,0
1982,1982-06-14,First group stage,Brazil,Soviet Union,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-13,First group stage,Argentina,Belgium,1,1,0,0,0.0,0.0,True,2,0
1978,1978-06-25,Final,Argentina,Netherlands,2,3,0,0,0.0,0.0,True,5,0
1978,1978-06-24,Third-place match,Brazil,Italy,2,1,0,0,0.0,0.0,True,3,0
1978,1978-06-21,Second round,Netherlands,Italy,2,3,0,0,0.0,0.0,True,5,0
1978,1978-06-21,Second round,Austria,West Germany,2,1,0,0,0.0,0.0,True,3,0
1978,1978-06-21,Second round,Brazil,Poland,2,0,0,0,0.0,0.0,True,2,0
1978,1978-06-21,Second round,Argentina,Peru,0,2,0,0,0.0,0.0,True,2,0
1978,1978-06-18,Second round,Poland,Peru,2,2,0,0,0.0,0.0,True,4,0
1978,1978-06-18,Second round,West Germany,Netherlands,1,2,0,1,0.0,0.0,True,3,1
1978,1978-06-18,Second round,Italy,Austria,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-18,Second round,Argentina,Brazil,1,3,0,0,0.0,0.0,True,4,0
1978,1978-06-14,Second round,Netherlands,Austria,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-14,Second round,West Germany,Italy,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-14,Second round,Brazil,Peru,1,1,0,0,0.0,0.0,True,2,0
1978,1978-06-14,Second round,Argentina,Poland,1,1,0,0,0.0,0.0,True,2,0
1978,1978-06-11,First round,Brazil,Austria,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-11,First round,Spain,Sweden,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-11,First round,Peru,IR Iran,0,1,0,0,0.0,0.0,True,1,0
1978,1978-06-11,First round,Scotland,Netherlands,1,0,0,0,0.0,0.0,True,1,0
1978,1978-06-10,First round,France,Hungary,0,0,0,0,0.0,0.0,False,0,0
1978,1978-06-10,First round,Poland,Mexico,0,0,0,0,0.0,0.0,False,0,0
